CODE,Snomed,Loinc,Name,UZ,RU,EN,
cancr0005.00195,,,,TSC1 (tuberoz skleroz 1) Hujayra o'sishi va bo'linishini tartibga solishda ishtirok etadigan oqsil. Mutatsiyalar turli organlarda yaxshi xulqli o'smalar bilan ajralib turadigan tuberous sklerozni keltirib chiqaradi.,"TSC1 (Tuberous Sclerosis 1) Белок, участвующий в регуляции клеточного роста и деления. Мутации вызывают туберозный склероз, характеризующийся доброкачественными опухолями в различных органах.","TSC1 (Tuberous Sclerosis 1) A protein involved in the regulation of cell growth and division. Mutations cause tuberous sclerosis, characterized by benign tumors in various organs.",
cancr0005.00196,,,,TSC2 (Tuberous sklerosis 2) mTOR signalizatsiya yo'lini inhibe qilish uchun TSC1 bilan o'zaro ta'sir qiluvchi oqsil. Mutatsiyalar ham tuberous sklerozga olib keladi.,"TSC2 (Tuberous Sclerosis 2) Белок, взаимодействующий с TSC1 для ингибирования mTOR сигнального пути. Мутации также вызывают туберозный склероз.",TSC2 (Tuberous Sclerosis 2) A protein that interacts with TSC1 to inhibit the mTOR signaling pathway. Mutations also cause tuberous sclerosis.,
cancr0005.00197,,,,"UBE2T (Ubiquitin Conjugating Enzyme E2 T) Ubiquitinatsiya jarayonida ishtirok etadigan, oqsil parchalanishi va hujayra jarayonlarini tartibga solish uchun muhim bo'lgan oqsil. Mutatsiyalar Fankoni anemiya sindromi bilan bog'liq.","UBE2T (Ubiquitin Conjugating Enzyme E2 T) Белок, участвующий в процессе убиквитинирования, важном для деградации белков и регуляции клеточных процессов. Мутации связаны с синдромом Fanconi anemia.","UBE2T (Ubiquitin Conjugating Enzyme E2 T) A protein involved in the ubiquitination process, important for protein degradation and regulation of cellular processes. Mutations are associated with Fanconi anemia syndrome.",
cancr0005.00198,,,,UROD (uroporfirinogen dekarboksilaza) Gem biosintezida ishtirok etadigan ferment. Mutatsiyalar porfiriya kutana tardega olib keladi.,"UROD (Uroporphyrinogen Decarboxylase) Фермент, участвующий в биосинтезе гема. Мутации вызывают порфирию кутану тарду.",UROD (Uroporphyrinogen Decarboxylase) An enzyme involved in heme biosynthesis. Mutations cause porphyria cutanea tardu.,
cancr0005.00199,,,,"VHL (Von Hippel-Lindau o'simtalarini bostiruvchi) gipoksiyani tartibga solishda ishtirok etadigan o'simta bostiruvchi oqsil. Mutatsiyalar fon Hippel-Lindau kasalligini keltirib chiqaradi, bu ko'plab o'smalar bilan tavsiflanadi.","VHL (Von Hippel-Lindau Tumor Suppressor) Белок-супрессор опухолей, участвующий в регуляции гипоксии. Мутации вызывают болезнь фон Гиппеля-Линдау, характеризующуюся множественными опухолями.","VHL (Von Hippel-Lindau Tumor Suppressor) A tumor suppressor protein involved in the regulation of hypoxia. Mutations cause von Hippel-Lindau disease, characterized by multiple tumors.",
cancr0005.00200,,,,WAS (Wiskott-Aldrich sindromi) - aktin sitoskeletini tartibga solishda ishtirok etadigan oqsil. Mutatsiyalar immunitet tanqisligi va trombotsitopeniya bilan tavsiflangan Wiskott-Aldrich sindromini keltirib chiqaradi.,"WAS (Wiskott-Aldrich Syndrome)Белок, участвующий в регуляции актинового цитоскелета. Мутации вызывают синдром Вискотта-Олдрича, характеризующийся иммунодефицитом и тромбоцитопенией.","WAS (Wiskott-Aldrich Syndrome) A protein involved in the regulation of the actin cytoskeleton. Mutations cause Wiskott-Aldrich syndrome, characterized by immunodeficiency and thrombocytopenia. ",
cancr0005.00201,,,,WNT10A (Wnt Oila a'zosi 10A) embrion rivojlanishi va hujayra proliferatsiyasi uchun muhim bo'lgan Wnt signalizatsiya yo'lida ishtirok etadigan oqsil. Mutatsiyalar turli xil rivojlanish anomaliyalari bilan bog'liq bo'lishi mumkin.,"WNT10A (Wnt Family Member 10A)Белок, участвующий в сигнальном пути Wnt, важном для эмбрионального развития и клеточной пролиферации. Мутации могут быть связаны с различными аномалиями развития.","WNT10A (Wnt Family Member 10A)A protein involved in the Wnt signaling pathway, which is important for embryonic development and cell proliferation. Mutations can be associated with various developmental abnormalities.",
cancr0005.00202,,,,"WRAP53 (TP53ga WD Repeat Containing Antisense to TP53) Telomeraza stabilizatsiyasi va lokalizatsiyasini tartibga soluvchi, shuningdek, DNKni tiklash jarayonida rol o'ynaydigan oqsil. Mutatsiyalar turli kasalliklar, jumladan, diskeroz konjenit bilan bog'liq.","WRAP53 (WD Repeat Containing Antisense to TP53)Белок, регулирующий стабилизацию и локализацию теломеразы, а также играющий роль в процессе репарации ДНК. Мутации связаны с различными заболеваниями, включая дискерозис конгенита.","WRAP53 (WD Repeat Containing Antisense to TP53)A protein that regulates telomerase stabilization and localization, and also plays a role in DNA repair. Mutations are associated with various diseases, including dyskerosis congenita.",
cancr0005.00203,,,,"WRN Verner sindromi RecQ Helicase kabi) Helikaz genomik barqarorlikni saqlashda ishtirok etadi. Mutatsiyalar Verner sindromini keltirib chiqaradi, bu erta qarish va saraton xavfining oshishi bilan tavsiflanadi.","WRN Werner Syndrome RecQ Like Helicase) Геликаза, участвующая в поддержании геномной стабильности. Мутации вызывают синдром Вернера, характеризующийся преждевременным старением и повышенным риском рака.","WRN Werner Syndrome RecQ Like Helicase) A helicase involved in maintaining genomic stability. Mutations cause Werner syndrome, characterized by premature aging and an increased risk of cancer.",
cancr0005.00204,,,,WT1 (Wilms Tumor 1) Buyrak va jinsiy bez rivojlanishida rol o'ynaydigan transkripsiya omili. Mutatsiyalar Wilms shishi va boshqa sindromlar bilan bog'liq.,"WT1 (Wilms Tumor 1)Транскрипционный фактор, играющий роль в развитии почек и гонад. Мутации связаны с опухолью Вильмса и другими синдромами.",WT1 (Wilms Tumor 1)A transcription factor that plays a role in the development of the kidneys and gonads. Mutations are associated with Wilms tumor and other syndromes.,
cancr0005.00205,,,,"XPA (Xeroderma Pigmentosum, Komplementatsiya guruhi A) ultrabinafsha nurlanish natijasida kelib chiqqan DNK shikastlanishini tiklashda ishtirok etadigan oqsil. Mutatsiyalar ultrabinafsha nurlanishiga yuqori sezuvchanlik va teri saratoni xavfi bilan tavsiflangan kseroderma pigmentozini keltirib chiqaradi.","XPA (Xeroderma Pigmentosum, Complementation Group A) Белок, участвующий в репарации повреждений ДНК, вызванных ультрафиолетовым излучением. Мутации вызывают ксеродерму пигментозу, характеризующуюся повышенной чувствительностью к ультрафиолету и риском рака кожи.","XPA (Xeroderma Pigmentosum, Complementation Group A) A protein involved in the repair of DNA damage caused by ultraviolet radiation. Mutations cause xeroderma pigmentosis, characterized by increased sensitivity to ultraviolet radiation and the risk of skin cancer.",
cancr0005.00206,,,,"XPC (Xeroderma Pigmentosum, Komplementatsiya guruhi C) DNKning nukleotidlar eksizyonini tiklash jarayonida ishtirok etadigan oqsil. Mutatsiyalar kseroderma pigmentozini ham keltirib chiqaradi.","XPC (Xeroderma Pigmentosum, Complementation Group C) Белок, участвующий в процессе нуклеотидной эксцизионной репарации ДНК. Мутации также вызывают ксеродерму пигментозу.","XPC (Xeroderma Pigmentosum, Complementation Group C) A protein involved in the process of nucleotide excision repair of DNA. Mutations also cause xeroderma pigmentosis.",
cancr0005.00207,,,,XRCC2 (X-Ray Repair Cross Complementing 2) Gomologik rekombinatsiya va DNKni tiklashda ishtirok etadigan oqsil. Mutatsiyalar turli xil saraton turlarini rivojlanish xavfi bilan bog'liq bo'lishi mumkin.,"XRCC2 (X-Ray Repair Cross Complementing 2)Белок, участвующий в гомологичной рекомбинации и репарации ДНК. Мутации могут быть связаны с повышенным риском различных видов рака.",XRCC2 (X-Ray Repair Cross Complementing 2) A protein involved in homologous recombination and DNA repair. Mutations may be associated with an increased risk of various cancers.,
cancr0005.00208,,,,"XRCC3 (X-Ray Repair Cross Complementing 3) Gomologik rekombinatsiya va DNKni tiklashda ishtirok etadigan oqsil. Mutatsiyalar, shuningdek, saratonning har xil turlarini rivojlanish xavfi bilan bog'liq bo'lishi mumkin.","XRCC3 (X-Ray Repair Cross Complementing 3)Белок, участвующий в гомологичной рекомбинации и репарации ДНК. Мутации также могут быть связаны с повышенным риском различных видов рака.",XRCC3 (X-Ray Repair Cross Complementing 3) A protein involved in homologous recombination and DNA repair. Mutations may also be associated with an increased risk of various cancers.,
Вариант генетического нарушения,,,,,,,
cancr0006.00001,55446002,,Genetic mutation (finding),Mutatsiya,Мутация,Mutation,
cancr0006.00002,12645001,,Gene amplification (finding),Kuchaytirish,Амплификация,Amplification,
cancr0006.00003,,,,Kodlash,Коделеция,Codeletion,
cancr0006.00004,15897004,,Chromosomal translocation (morphologic abnormality),Translokatsiya,Транслокация,Translocation,
cancr0006.00005,118115009,,Gene rearrangement analysis (procedure),Qayta tartibga solish,Реаранжировка,Rearrangement,
cancr0006.00006,261665006,,Unknown (qualifier value),Noma'lum,Неизвестно,Unknown,
Возникший процесс /Клинический статус,,,,,,,
cancr0007.00001,73425007,,Inactive (qualifier value),harakatsiz,Нет сведений, inactive,
cancr0007.00002,263855007,,Relapse phase (qualifier value),Qaytarilish,Рецидив,Relapse,
cancr0007.00003,128462008,,Metastatic malignant neoplasm (disorder),Mintaqaviy metastazlar,Регионарные метастазы,Regional metastases,
cancr0007.00004,128462008,,Metastatic malignant neoplasm (disorder),Uzoq metastazlar,Отдаленные метастазы,Distant metastases,
cancr0007.00005,,,,Biokimyoviy relaps,Биохимический рецидив,Biochemical relapse,
cancr0007.00006,,,,Jarayonning rivojlanishi,Прогрессирование процесса,Progression of the process,
cancr0007.00007,,,,Mahalliy rivojlangan jarayon,Местнорапространенный процесс,Locally advanced process,
cancr0007.00008,61883002,,"Transformation, function (observable entity)",Transformatsiya,Трансформация,Transformation,
Область поражения,,,,,,,
cancr0008.00001,361351001,,All lymph nodes (body structure),Limfa tugunlari,Лимфоузлы,Lymph nodes,
cancr0008.00002,128530007,,Entire bony skeleton (body structure),Suyaklar,Кости,Bones,
cancr0008.00003,10200004,,Liver structure (body structure),Jigar,Печень,Liver,
cancr0008.00004,10200004,,Long (qualifier value),O'pka (plevra),Легкое (плевра),Lung (pleura),
cancr0008.00005,12738006,,Brain structure (body structure),Miya,Головной мозг,Brain,
cancr0008.00006,15497006,,Ovarian structure (body structure),Tuxumdon,Яичник,Ovary,
cancr0008.00007,,,,Yumshoq matolar,Мягкие ткани,Soft tissues,
cancr0008.00008,23451007,,Adrenal structure (body structure),Buyrak usti bezlari,Надпочечник,Adrenal gland,
cancr0008.00009,,,,Boshqa organlar,Другие органы,Other organs,
cancr0008.00010,15425007,,Structure of serous membrane of peritoneum (body structure),Qorin pardasi,Брюшина,Peritoneum,
Сведения о лечении (Тип лечения),,,,,,,
cancr0009.00001,1287211007,,Информация отсутствует (значение квалификатора),Ma'lumot yo'q,Нет сведений,No information,
cancr0009.00002,255327002,,Ambulatory (qualifier value),Ambulator sifatida davolandi,Лечился амбулаторно,Treated on an outpatient basis,
cancr0009.00003,394656005,,Inpatient care (regime/therapy),Statsionar sifatida davolandi,Лечился стационарно,Treated inpatiently,
Характер лечения,,,,,,,
cancr0010.00001,262008008,,Not performed (qualifier value),Amalga oshirilmadi,Не проводилось,Not performed,
cancr0010.00002,255612005,,Radical (qualifier value),Radikal,Радикальное ,Radical,
cancr0010.00003,363676003,,Palliative - procedure intent (qualifier value),Palliativ,Паллиативное,Palliative,
cancr0010.00004,264931009,,Symptomatic (qualifier value),Semptomatik,Симптоматическое,Symptomatic,
cancr0010.00005,52052004,,Rehabilitation therapy (regime/therapy),Reabilitatsiya,Реабилитационное,Rehabilitation,
cancr0010.00006,,,,Radikal tugallanmagan,Радикальное незавершенное,Radical incomplete,
cancr0010.00007,129428001,,Preventive - procedure intent (qualifier value),Profilaktik,Профилактическое,Preventive,
cancr0010.00008,302199004,,Examination - action (qualifier value),So'rov,Обследование,Examination,
cancr0010.00009,,,,Boshqa kasalliklar haqida,По поводу других заболеваний,Concerning other diseases,
cancr0010.00010,,,,Murakkabliklar haqida,По поводу осложнений,Concerning complications,
Вид специального лечения,,,,,,,
cancr0011.00001,262008008,,Not performed (qualifier value),Amalga oshirilmadi,Не проводилось,Not performed,
cancr0011.00002,83578000,,Surgical (qualifier value),Jarrohlik,Хирургическое,Surgical,
cancr0011.00003,33195004,,External beam radiation therapy procedure (procedure),Tashqi nurli radiatsiya terapiyasi,Дистационная лучевая терапия,Distance radiotherapy,
cancr0011.00004,169297002,,Short distance X-ray therapy (procedure),Qisqa fokusli rentgen terapiyasi,Короткофокусная рентгенотерапия,Short-focus X-ray therapy,
cancr0011.00005,,,,Kombinatsiyalangan nurlanish: davom+masofa.,Сочетанное лучевое: конт+дистанц.,Combined radiation: contact + distance,
cancr0011.00006,,,,Kombinatsiyalangan nurlanish: CT+Rentgen,Сочетанное лучевое: конт+рентген,Combined radiation: contact + X-ray,
cancr0011.00007,,,,Kimyoterapiya (gormonal),Химиотерапевтическое (гормональное),Chemotherapeutic (hormonal),
cancr0011.00008,,,,Jarrohlik + masofaviy radioterapiya,Хирургическое+дистанц.лучевая терапия,Surgical + distance radiotherapy,
cancr0011.00009,,,,Jarrohlik + qisqa muddatli rentgen terapiyasi,Хирургическое+короткофок.рентгенотерапия,Surgical + short-focus X-ray therapy,
cancr0011.00010,,,,Jarrohlik + kombinatsiyalangan radiatsiya terapiyasi,Хирургическое+сочетанная лучевая терапия,Surgical + combined radiation therapy,
cancr0011.00011,,,,Jarrohlik + kontaktli radiatsiya terapiyasi,Хирургическое+контактная лучевая терапия,Surgical + contact radiation therapy,
cancr0011.00012,,,,Jarrohlik + kimyoterapiya (gormon terapiyasi),Хирургическое+химиотерапия (гормонотерапия),Surgical + chemotherapy (hormone therapy),
cancr0011.00013,,,,Kompleks kimyoterapiya,Комплексная химиолучевая терапия,Complex chemoradiation therapy,
cancr0011.00014,,,,Jarrohlik + radiatsiya + kimyoterapiya (gormon terapiyasi),Хирургическое+ лучевое+химиотерапия (гормонотерапия),Surgical + radiation + chemotherapy (hormone therapy),
cancr0011.00015,440252007,,Administration of radiopharmaceutical (procedure),Radiofarmatsevtika,Радиофармпрепараты,Radiopharmaceuticals,
cancr0011.00016,384692006,,Intracavitary brachytherapy (procedure),Radioterapiya bilan aloqa qilish,Контактная лучевая терапия,Contact radiation therapy,
cancr0011.00017,,,,Jarrohlik + radiofarmatsevtika,Хирургическое+радиофармпрепараты,Surgical + radiopharmaceuticals,
cancr0011.00018,,,,Kombinatsiyalangan nurlanish: tashqi nurli radiatsiya terapiyasi + rentgen terapiyasi,Сочетанное лучевое:дистанционная лучевая терапия+рентгенотерапия,Combined radiation: distance radiation therapy + X-ray therapy,
cancr0011.00019,,,,Boshqa ta'sir turlari,Другие виды воздействия,Other types of exposure,
Гормоны Иммуногистохимии,,,,,,,
cancr0012.00001,,14228-1,Cells.estrogen receptor/cells in Tissue by Immune stain,Estrogen,Эстроген ,Estrogen,
cancr0012.00002,,"	14230-7",Cells.progesterone receptor/cells in Tissue by Immune stain,Progesteron,Прогестерон ,Progesterone,
cancr0012.00003,,18474-7,HER2 Ag [Presence] in Tissue by Immune stain,har-2 neu,her-2 neu,her-2 neu,
cancr0012.00004,,"	85330-9","	Cells.Ki-67 nuclear Ag/cells in Breast cancer specimen by Immune stain",Ki-67,Ki-67 ,Ki-67,
cancr0012.00005,,83053-9,Cells.programmed cell death ligand 1/Viable tumor cells in Tissue by Immune stain,PD-L1,PD-L1,PD-L1,
Наименование Исследования,,,,,,,
cancr0013.00001,,,,IHC-ga xos,ИГХ специфические,IHC specific,
cancr0013.00002,,,,IHC o'ziga xos bo'lmagan,ИГХ неспецифические,IHC non-specific,
cancr0013.00003,399390009,, Tumor-node-metastasis (TNM) stage grouping (observable entity),TNM tasnifi,TNM классификация,TNM classification,
cancr0013.00004,,,,Molekulyar genetik tadqiqotlar,Молекулярно-генетическое исследование,Molecular genetic testing,
Поведение опухоли,,,,,,,
cancr0014.00001,30807003,,Benign (qualifier value),0 - yaxshi,0 - Доброкачественная,0 - Benign,
cancr0014.00002,64957009,,Uncertain (qualifier value),1 - noaniq,1 - Неопределенная,1 - Uncertain,
cancr0014.00003,264031007,,In situ (qualifier value),2 - joyida,2 - In situ,2 - In situ,
cancr0014.00004,21594007,,Malignant (qualifier value),3 - zararli,3 - Злокачественная,3 - Malignant,
cancr0014.00005,128462008,,Metastatic malignant neoplasm (disorder),"6 - malign, metastatik","6 - Злокачественное, метастатическое","6 - Malignant, metastatic",
cancr0014.00006,,,,"9 - malign, aniqlanmagan joy","9 - Злокачественное, неопредленной локализации","9 - Malignant, unspecified site",
Степень дифференцировки опухоли,,,,,,,
cancr0015.00001,,LA15453-6,Well differentiated (G1),G1 (Yuqori farqlangan),G1 (Высоко дифференцированная),G1 (Highly differentiated),
cancr0015.00002,,LA15452-8,Moderately differentiated (G2),G2 (O'rta tabaqalashtirilgan),G2 (Средне дифференцированная),G2 (Moderately differentiated),
cancr0015.00003,,LA15450-2,Poorly differentiated (G3),G3 (past farqlangan),G3 (Низко дифференцированная),G3 (Poorly differentiated),
cancr0015.00004,,LA15451-0,Undifferentiated (G4),G4 (differentsiatsiyalanmagan),G4 (Недифференцированная),G4 (Undifferentiated),
cancr0015.00005,112242009,,T-cell origin,T hujayra,T-клеточная,T-cell,
cancr0015.00006,40554008,,B-cell origin (qualifier value),B hujayra,B-клеточная,B-cell,
cancr0015.00007,4078008,,Non T- non B-cell origin (qualifier value),Nolinchi katak,Нулевая клетка,Null cell,
cancr0015.00008,103422004,, Natural killer cell origin (qualifier value,NK hujayra,NK-клетка,NK cell,
cancr0015.00009,,LA27142-1,Low-grade (well differentiated to moderately differentiated),Past daraja,Низкая степень / Low grade,Low grade,
cancr0015.00010,,LA27143-9,High-grade (poorly differentiated to undifferentiated),Yuqori daraja,Высокая степень / High grade,High grade,
cancr0015.00011,,LA15454-4,Grade cannot be assessed (GX),GX (o'rnatib bo'lmaydi),GX (Не может быть установлена),GX (Cannot be determined),
Причина поздней диагностики,,,,,,,
cancr0016.00001,,,,Tibbiy ko'rikdan o'tkaziladigan shaxslar. Tibbiy ko'rikdan o'tish muddatlarini buzish,"Лица, подлежащие медосмотрам. Нарушение сроков диспансеризации",Persons subject to medical examinations. Violation of the terms of medical examination,
cancr0016.00002,,,,Tibbiy ko'rikdan o'tkaziladigan shaxslar. To'liq bo'lmagan tekshiruv,"Лица, подлежащие медосмотрам. Неполное обследование",Persons subject to medical examinations. Incomplete examination,
cancr0016.00003,,,,Tibbiy ko'rikdan o'tkaziladigan shaxslar. Diagnostik xato,"Лица, подлежещие медосмотрам. Ошибка диагностики",Persons subject to medical examinations. Diagnostic error,
cancr0016.00004,,,,"Bemorlar (Yaxshi, saratondan oldingi). Tibbiy ko'rikdan o'tish muddatlarini buzish","Пациенты (Добро, предрак). Нарушение сроков диспансеризации","Patients (Dobro, precancer). Violation of the terms of medical examination",
cancr0016.00005,,,,"Bemorlar (Yaxshi, saratondan oldingi). To'liq bo'lmagan tekshiruv","Пациенты (Добро, предрак). Неполное обследование","Patients (Dobro, precancer). Incomplete examination",
cancr0016.00006,,,,"Bemorlar (Yaxshi, saratondan oldingi). Diagnostik xato","Пациенты (Добро, предрак). Ошибка диагностики","Patients (Dobro, precancer). Diagnostic error",
cancr0016.00007,,,,Shikoyatlarni ko'rib chiqish. Hech qanday so'rov o'tkazilmagan,Обращение с жалобами. Обследование не проводилось,Appeal with complaints. Examination was not carried out,
cancr0016.00008,,,,Shikoyatlarni ko'rib chiqish. To'liq bo'lmagan imtihon,Обращение с жалобами. Неполное обследование,Appeal with complaints. Incomplete examination,
cancr0016.00009,,,,Shikoyatlarni ko'rib chiqish. Diagnostik xato,Обращение с жалобами. Ошибка диагностики,Appeal with complaints. Diagnostic error,
cancr0016.00010,,,,Shikoyatsiz murojaat qiling. Hech qanday so'rov o'tkazilmagan,Обращение без жалоб. Обследование не проводилось,Appeal without complaints. Examination was not carried out,
cancr0016.00011,,,,Shikoyatsiz murojaat qiling. To'liq bo'lmagan tekshiruv,Обращение без жалоб. Неполное обследование,Appeal without complaints. Incomplete examination,
cancr0016.00012,,,,Shikoyatsiz davolanish. Diagnostik xato,Обращение без жалоб. Ошибка диагностики,Appeal without complaints. Diagnostic error,
cancr0016.00013,,,,Bemor tekshiruvdan o'tishni rad etadi,Отказ пациента от обследования,Patient's refusal of examination,
cancr0016.00014,,,,Bir yildan ortiq aloqa qilmadim,Не обращался более года,Has not applied for more than a year,
cancr0016.00015,,,,Neoplazmaning tez progressiv shakli,Быстропрогрессирующая форма новообразования,Rapidly progressing form of neoplasm,
cancr0016.00016,,,,An'anaviy usullar bilan davolash,Лечение народными методами,Treatment with folk methods,
cancr0016.00017,,,,Protokol tahlil qilinmaydi,Протокол не разобран,Protocol not analyzed,
Источник информации о диагнозе,,,,,,,
cancr0017.00001,,,,Respublika onkologiya va radiologiya markazi filialining kasallik tarixi (ambulator karta).,История болезни (амб. Карта) филиала РСНПМЦОиР,Medical history (outpatient card) of the branch of the Republican Center for Oncology and Radiology,
cancr0017.00002,,,,Boshqa tibbiy muassasaning kasallik tarixidan (amb.card) ko'chirma,Выписка из истории болезни (амб.карты) другого медицинского учреждения,Extract from the medical history (outpatient card) of another medical institution,
cancr0017.00003,,,,MREC onkologiyasiga murojaat qilish,Направление на онкоМРЭК,Referral to the oncological medical expert commission,
cancr0017.00004,,,,Respublika onkologiya va radiologiya markazi filiali poliklinikasiga xabarnoma,Извещение поликлники филиала РСНПМЦОиР,Notification from the outpatient clinic of the branch of the Republican Center for Oncology and Radiology,
cancr0017.00005,,,,Tuman sog'liqni saqlash muassasasi/shahar sog'liqni saqlash muassasasi xabarnomasi,Извещение РМО/ГМО,Notification from the District Health Care Institution/City Health Care Institution,
cancr0017.00006,,,,Tibbiy muassasadan xabarnoma,Извещение из медицинского учреждения,Notification from the medical institution,
cancr0017.00007,,,,Maslahat fikri,Косультативное заключение,Advisory opinion,
cancr0017.00008,,,,O'lim to'g'risidagi guvohnoma,Свидетельство о смерти,Death certificate,
cancr0017.00009,,,,NIKOH RO'YXATLARI,ЗАГС,Registry office,
cancr0017.00010,,,,Patologik anatomik byuro,Паталого анатомическое бюро,Pathological anatomical bureau,
cancr0017.00011,,,,Xususiy tibbiyot muassasalari,Частные медицинские учреждения,Private medical institutions,
Метод подтверждения диагноза,,,,,,,
cancr0018.00001,394597005,,Histopathology (qualifier value),Gistologiya,Гистология,Histology,
cancr0018.00002,,,,Sitologik-gematologik,Цитолого-гематололгичсекий,Cytological-hematological,
cancr0018.00003,,,,rentgen nurlari,Рентгенологичсекий,X-ray,
cancr0018.00004,,,,Endoskopik,Эндоскопический,Endoscopic,
cancr0018.00005,,,,Izotopik,Изотопный,Isotope,
cancr0018.00006,110465008,,Clinical trial (procedure),Faqat klinik,Только клинически,Only clinical,
cancr0018.00007,16310003,,Ultrasonography (procedure),Ultrasonik,Ультрозвуковой,Ultrasound,
cancr0018.00008,367401004,,Myelogram (procedure),Miyelogramma,Миелограмма,Myelogram,
cancr0018.00009,,,,O'simta belgilari,Онкомаркеры,Tumor markers,
Сторона порожения,,,,,,,
cancr0019.00001,,,,Yo'q,Нет,No,
cancr0019.00002,7771000,,Left (qualifier value),Chapga,Слева,Left,
cancr0019.00003,24028007,,Right (qualifier value),To'g'ri,Справа,Right,
cancr0019.00004,,,,Ikkala organ ham,Оба органа,Both organs,
cancr0019.00005,261665006,,Unknown (qualifier value),Noma'lum,Неизвестно,Unknown,
Условия выявления,,,,,,,
cancr0020.00001,,,,Onconazorat idorasida aniqlangan,Выявлен в кабинете Онконазорат,Identified in the Onconazorat office,
cancr0020.00002,,,,O'zingizga murojaat qiling,Обратился самостоятельно,Appealed independently,
cancr0020.00003,,,,Tibbiy ko'rikning boshqa turlari uchun,При других видах профосмотра,During other types of medical examination,
cancr0020.00004,,,,Parallel tibbiy ko'rik paytida,При параллельном профосмотре,During parallel medical examination,
cancr0020.00005,,,,Skrining paytida,При скрининге,During screening,
cancr0020.00006,,,,Hayot davomida aniqlangan tashxis bilan vafotidan keyin ro'yxatga olingan,"Учтен посмертно с диагнозом, установленного при жизни",Recorded posthumously with a diagnosis established during life,
cancr0020.00007,,,,Otopsisiz vafotidan keyin ro'yxatga olingan,Учтен посмертно без вскрытия,Recorded posthumously without an autopsy,
cancr0020.00008,,,,Otopsiyadan keyin vafotidan keyin ro'yxatga olingan,Учтен посмертно после вскрытия,Recorded posthumously after an autopsy,
Уточнение стадии,,,,,,,
cancr0021.00001,,,,а,а,а,
cancr0021.00002,,,,b,b,b,
cancr0021.00003,,,,c,c,c,
cancr0021.00004,,,,d,d,d,
cancr0021.00005,,,,E,E,E,
cancr0021.00006,,,,S,S,S,
Операции онкологии,,,,,,,
cancr0022.00001,,,,oddiy sut amputatsiyasi,простая ампутация молочной железы,simple amputation of the mammary gland,
cancr0022.00002,,,,limfa tugunlari bilan ko'krakning radikal rezektsiyasi,радикальная резекция молочной железы с лимфодиссекцией,radical resection of the mammary gland with lymph node dissection,
cancr0022.00003,,,,ko'krak lumpektomiyasi,лампэктомия молочной железы,lumpectomy of the mammary gland,
cancr0022.00004,,,,limfa tugunlari diseksiyasi bilan ko'krakning palliativ amputatsiyasi,паллиативная ампутация молочной железы с лимфодиссекцией,palliative amputation of the mammary gland with lymph node dissection,
cancr0022.00005,,,,radikal rezektsiyadan keyin TDL qopqog'i bilan plastik jarrohlik,пластическая операция ТДЛ лоскутом после радикальной резекции,plastic surgery with TDL flap after radical resection,
cancr0022.00006,,,,xo'ppoz yoki kist bo'shlig'ini drenajlash,дренирование абсцесса или полости кисты,abscess or cyst cavity drainage,
cancr0022.00007,,,,adrenalektomiya,адреналэктомия,adrenalectomy,
cancr0022.00008,,,,gastrektomiya,гастрэктомия,gastrectomy,
cancr0022.00009,,,,jigar rezektsiyasi,резекция печени,liver resection,
cancr0022.00010,,,,ostoma,наложение стомы,ostomy,
cancr0022.00011,,,,o'n ikki barmoqli ichak rezektsiyasi,резекция двенадцатиперстной кишки,resection of the duodenum,
cancr0022.00012,,,,ingichka ichak rezektsiyasi,резекция тонкого кишечника,small intestine resection,
cancr0022.00013,,,,kengaytirilgan gastrektomiya,расширенная гастрэктомия,extended gastrectomy,
cancr0022.00014,,,,"kengaytirilgan gastrektomiya, qizilo'ngachning n/3 qismini rezektsiya qilish","расширенная гастрэктомия, с резекцией н/3 части пищевода","extended gastrectomy, with resection of the lower third of the esophagus",
cancr0022.00015,,,,hemigeptektomiya,гемигепатэктомия,hemihepatectomy,
cancr0022.00016,,,,jigardan tashqari kanallarni rezektsiya qilish,резекция внепеченочных протоков,resection of extrahepatic ducts,
cancr0022.00017,,,,kombinatsiyalangan gastrektomiya,комбинированная гастрэктомия,combined gastrectomy,
cancr0022.00018,,,,qizilo'ngachning n/3 qismini rezektsiya qilish bilan kombinatsiyalangan gastrektomiya,"комбинированная гастрэктомия, с резекцией н/3 части пищевода","combined gastrectomy, with resection of the lower third of the esophagus",
cancr0022.00019,,,,retroperitoneal noorgan o'smalarini olib tashlash,удаление забрюшинных неорганных опухолей,removal of retroperitoneal non-organ tumors,
cancr0022.00020,,,,distal subtotal gastrektomiya,дистально субтотальная резекция желудка,distal subtotal gastrectomy,
cancr0022.00021,,,,oshqozon osti bezi dumini rezektsiya qilish + splenektomiya,резекция хвоста поджелудочной железы + спленэктомия,resection of the tail of the pancreas + splenectomy,
cancr0022.00022,,,,proksimal subtotal gastrektomiya,проксимально субтотальная резекция желудка,proximal subtotal gastrectomy,
cancr0022.00023,,,,qorin old devori shishini olib tashlash,удаление опухоли передней брюшной стенки,removal of tumor of the anterior abdominal wall,
cancr0022.00024,,,,"laparotomiya, yopishishlarni ajratish (yopishqoqlarni ajratish)","лапаротомия, отделение спаек (разъединение спаек)","laparotomy, separation of adhesions (disconnection of adhesions)",
